100111321       121021106222211121111122311121242     2211122     07  01  11 21220011124223311111111 11393431113912121 23112912211294222        42112411111122 2300111012101110111 001000907012  15132       009000618331026111       25131212 1
100112801       122111240192111125112222331944232     3124424     98  98  12 44220011219132212212121 11123113113199221 11111111111294222        32393421144122 4300112012461000015 00100099898   02131       035002316444536123       29941292 2
100113805       1421215071222111521111133113     4443393     33443  99  9931 44220011395233113222921 2132111913311111 123229111142114324        33912531134142 3300113012623140039 00100099999   22232       079001318440526114       32811232 2
100114909       1210213842911122992219133232     4443412     34443  08  082134422001141513212233312222232312333122222 233222311133123324        34221231144143 3300114012673002139 00100090808   44132       065000622440556144       52711222 2
100115713       152112216292112251222913312                                    220011511123122219211 29221121293321991 1122232121319232           3914 11  2 6  300115013244222933 0010009       25232       201000784334416212       53023232 1
100116563       1331125252121122172222132223     3333312     33333  99  9921133220011611123123322222122312121131321211 11222221211112313        33222232333131 3300116013264222739 00100099999   01132       061001577221636222       24931232 3
100117217       141112202192112151122213323224143     2143412     02  08  31 24220011712122212111111 11313121123311221 33222211139124221        43112141134112 2300117013281222912 00100090208   19232       021000700221456252       28741242 3
100118608       142111242221112238222913312231141     1141134     02  01  2933122001181112212234312212222112932222922 231222911913123221        41222149211135 4300118013511222115 00100090201   03232       065000476225056252       44931232 1
100119256       1621211342322111511112131112     4223221     42322  98  0412 42120011911223112122111 1111323311211212 133122211111122322        32113141223122 2300119013663200735 001000998041  04132       103001671330136222       23521242 1
100120641       113211238191112290912123292                                    22001201513322342322222132313133132191 13129922111911232           2225 21  2 6  300120013711222313 0010009       04132       127003857221656252       11811229 2
100121319       163221106221211151111192111444442     2244424     98  98  11 44120012111211213122111 1112243213311211 111212321111112124        42113141244122 4300121013751122714 001000998981  02132       113001372221626212       34831252 3
100122304       123122236211211262122214321                                    220012231223323322119229323121133312222 1122231113312332           1121 11  2 6  300122014094105739 0010009    2  03222       089001747314956251       15931212 3
100123203       141021884211212251992224222131341     1131213     01  01  21331120012312322122333222122221121321321211 31222112211124123        41223232112111 3300123014411124819 001000901012  03232       009000394110736221       37941232 1
100124407       112122507122211153119922321224222     2122422     98  08  12 24220012491223122222111 1132393119911292 111222191141114112        22113121124122 2300124014561110013 001000998081  24132       095000678331036221       36031252 3
100125207       112122236211211153112293391                                    120012511233212211111 1132212113331199 12311122112131422           3921 11  2 2  300125014972102421 0010009    2  02232       001001095112036221       26431242 3
100126435       151112202191112223222213122342444     1244434     09  09  21242220012613133122444229222323121291329122 31222321133122324        44221442144134 4300126015172234828 00100090909   01132       005000242444556253       55031232 2
100127970       162111712112111914111213311231231     1124424     04  04  32131220012711123112222122212223121121311121 31222111121112222        31222121144121 4300127015201234719 00100090404   04132       069000608440626213       46131212 3
100128505       132122133192219966999999994314344     1244433     98  02  39914120012811299999449999922299121391999992 99922991133192123        4422344214413113300128015282224528 001000998022  02132       061000866443236233  00   35432252 1
100129425       1122229862912122512229142221     4314212     44124  02  0229243120012913223122444122221223121223221122 33222323133123221        42321542341121 4300129015493222735 00100090202   01232       033000498444836224       54931232 1
100130760       152122018112111902222214213343434     1344433     98  98  22343220013015132129333221 2132312333132199 121222221112191224        34221242344136 3300130015621004215 00100099898   49132       073001047440536224       32914132 3
100131417       152112330212111190111122111142232     2132422     08  02  12 42220013111131212111111 1111341311211212 133111112221114122        32112131324122 2300131015981222714 00100090802   04232       217000773222656352       42911242 1
100132361       1332128272311111511122132112     4234423     14433  05  9812 42220013213112313111119111111229121112121 11122112113123323        44313111144136 3300132016113223533 00100090598   14132       007001243334456352       34731222 1
100133601       1210113112121112251222933353     5444311     44422  99  0433954220013312123122923222222323133193121221 31222321133111124        43222142144122 2300133016184224137 00100099904   02232       149000319332556352       57041222 1
100134903       143212023212112245222113122                                    220013413123322221121 22322121113112222 1122232111911312           3111 21  2 1  300134016261223212 0010009       01232       231002358334436332       33721232 2
100135337       1610114561211112241111223212     4444411     44444  05  0512244220013513113213232111 12111133113311112 21211221131112214        44223241144142 4300135016353223035 00100090505   05112       003000836331956352       24221222 1
100136713       111011359292111930111222111243342     2242422     98  99  12 43220013611133213111112219333433133911211 99222212111321223        42113141124122 2300136016401223311 00100099899   07131       201000256334416312       56231232 3
100137352       131122456121211125111222331                                    220013734213212111111 19313411313112121 3319121113399322           1135 11  2 2  300137017093110637 0010009       05232       069000491331036331       99931292 3
100138704       1111222431912122212222942321     2333122     31312  06  0622 23220013892223122222222222222121323321222 11222221132124113        31112132113111 2300138017134110438 001000906061  09132       119000254333426311       47941222 2
100139215       1211225101112112261212231212     2424412     43411  09  0812124220013921223113222111 11323221133111212 11222321121111112        44222141134112 1300139017313110837 001000909081  01232       101000514113916311       42712232 2
100140941       1311129512111122532222142221     2311112     11332  06  0121323220014014122122444222122223121223222222 33222221113121321        11222112113131 2300140017454204235 00100090601   13132       115000491331026311       25431242 2
100141804       142121712111211145111122321122332     2242422     02  02  12 22220014191231312222111 1131341313211212 223122112121114223        32113241124122 2300141017512110629 001000902022  04222       145000987334736331       53721252 3
100142717       132122232291211141111122321244432     2244432     98  04  19 44120014221391913111121 1199349911311211 123112211911111224        32111141144132 2300142017791121612 001000998042  09112       041001481113936321       23121232 2
100143307       152122023211211951111213321223443     2243414     01  08  12 23120014311223113322111 2139312111311211 131112112221224124        43112141134112 4300143017871161613 001000901081  01132       007000782445156353       36031212 2
100144831       143121232291219238222113224                                    220014495223223333221 2231212333332122 23322211121112242           3212 21  2 6  300144017951140514 0010009    2  17232       087002345440526314       32014132 3
100145503       121021023212112251222214222114111     1221124     02  02  22214220014514122122443222122223121233221222 31222921139121421        11321922111124 4300145018161004019 00100090202   03232       051000492443826314       35131222 1
100146541       151122256222112251222113122144113     1131314     99  99  29344220014615122223333222222321123123321222 11222321133124421        13222532113111 4300146018222003729 00100099999   04232       011000494443856354       42911222 3
100147650       111021521211211151111122121                                    120014711291111911111 11322429192311119 2122212112111119           3932 12  2 6  300147018274144433 0010001    9  12232       081000296440536334       45033942 2
100148619       121122202192111190112223321242343     2233433     09  09  32 42220014813123213222111 12323123133112221 33222212121194223        43112131134132 3300148018342004828 00100090909   53232       073000324440516314       36741232 2
100149817       1411121261321122532221143221     4411311     13412  02  022134422001491512211233312222222312312332111 211222221113223421        13221512134111 2300149018504222739 00100090202   12132       439000428334436422       42414232 2
100150850       142111128291119199221212324444344     9444433     98  02  21 4422001501512332244422212221213123132212 211222321113913223        4431314214413613300150018532223323 00100099802   02232       005003063331036422  00   22712212 3
100151920       132212236212111256112294221342242     2223424     98  98  12 42220015113133113299191 1932213911311222 131199911151111122        4231212133412224300151018821224019 00100099898   02232       055000631225056452  00   35631232 2
100152228       142111366111119999912913111244441     1143424     04  04  31144220015211123213222111 22393439193111992 31922121113124224        41222541234122 4300152019052224722 00100090404   04232       045001950332536432       17241222 2
100153507       121011326191111209199222211                                    220015315133191199111 19323419111991911 3129219221111411           1121 91  2 2  300153019112224025 0010009       01132       109000319222436422       37641222 3
100154252       112112303212111123111222311241313     2243432     03  01  12 41220015411131313222111 11313223113112121 33111212121114323        13111141134132 2300154019301204719 00100090301   03132       031000856333456451       52811252 1
100155330       121011456122112251212223311                                    220015511122123322222222222123223321221 3122232213311122           3221 22  2 6  300155019401204619 0010009       17232       153000231223626411       55431242 1
100156906       1342128422121122259229122223     4444433     44444  99  9922 4422001561112322322212222232343313332111 231222321122124224        4431224114414624300156019603205033 00100099999   01232       033003041222356451  00   23421242 2
100157518       112112106221111117221213323334423     1343422     98  04  12334220015711133112222111 1132223113312222 111121221111112324        23322241234122 2300157019832205429 00100099804   20132       021000757113356451       35531242 3
100158717       162111827231111190111122121242241     2213424     04  08  12 42220015811123212222111 1132313313311211 221222321111124222        41112411134122 4300158019931205913 00100090408   17132       075001378113936421       25831242 1
