id,question,n_options,mode,row,topic,polling_firm,date,keep,drop_reason,dk_shown,claim_cue,drop_category,correct,dk,incorrect,basis,confident_correct,confident_incorrect,total,opinion_wording,graded,format
239,"From what you have heard or read, who won the national popular vote this year (2016)--that is, the most votes in the country overall--Hillary Clinton or Donald Trump, or are you unsure?",3,telephone,72,Voter Fraud 2016,Gallup Organization,11/28-29/16,TRUE,,TRUE,FALSE,,0.66,0.19,0.15,Roper topline,,,100,TRUE,FALSE,three or more
15,"Do you happen to know the religion of each of the following people? If you don't know, you can mark that too¡¦Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion¡¦Barack Obama",6,online,75,Obama Religion,GfK Knowledge Networks,08/30/12-09/11/12,TRUE,,TRUE,FALSE,,0.28,0.37,0.35,Roper topline,,,100,FALSE,FALSE,three or more
143,"What is your personal opinion? Do you think that the world's temperature: probably has been going up over the past 100 years, probably has not been going up over the past 100 years",2,online,76,GW Happening,GfK Public Affairs & Corporate Communications,10/03-07/13,TRUE,,FALSE,FALSE,,0.74,0.02,0.24,Corpus columns,,,100,TRUE,FALSE,binary
203,"(Now, I am going to read you a list of words and phrases which people use to describe political figures. For each word or phrase, please tell me whether it describes Barack Obama very well, well, not too well, or not well at all.)...Is a Muslim",4,telephone,77,Obama Religion,Greenberg Quinlan Rosner Research,06/22-25/08,TRUE,,FALSE,FALSE,,0.69,0.07,0.24,Roper topline,,,100,FALSE,FALSE,three or more
197,You may have heard about the idea that the world¡¯s temperature may have been going up slowly over the past 100 years. What is your personal opinion on this?,2,online,87,GW Happening,Ipsos-Public Affairs,09/21-23/07,TRUE,,FALSE,FALSE,,0.84,0.02,0.14,Corpus columns,,,100,TRUE,FALSE,binary
25,"Do you happen to know the religion of each of the following people? If you don't know, you can mark that too¡¦Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion¡¦Barack Obama",6,online,88,Obama Religion,Knowledge Networks,12/23/10-01/10/11,TRUE,,TRUE,FALSE,,0.26262626262626265,0.42424242424242425,0.31313131313131315,Roper topline,,,99,FALSE,FALSE,three or more
30,"Do you happen to know the religion of each of the following (2008 presidential election) candidates? If you don't know, you can mark that too¡¦Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion¡¦Barack Obama",8,online,89,Obama Religion,Knowledge Networks,08/27/08-09/05/08,TRUE,,TRUE,FALSE,,0.36363636363636365,0.3939393939393939,0.24242424242424243,Roper topline,,,99,FALSE,FALSE,three or more
37,"(Do you happen to know the religion of each of the following (2008 presidential election) candidates? If you don't know, you can mark that too¡¦Protestant, Catholic, Mormon, Jewish, Muslim, some other religion, no religion)¡¦Barack Obama",8,online,90,Obama Religion,Knowledge Networks,04/02-14/08,TRUE,,TRUE,FALSE,,0.27,0.46,0.27,Roper topline,,,100,FALSE,FALSE,three or more
103,"Recently, you may have noticed that global warming has been getting some attention in the news. Global warming refers to the idea that the world's average temperature has been increasing over the past 150 years, may be increasing more in the future, and that the world's climate may change as a result. What do you think? Do you think that global warming is happening?",3,online,91,GW Happening,Knowledge Networks,05/14/10-06/01/10,TRUE,,FALSE,FALSE,,0.61,0.21,0.18,Corpus columns,,,100,TRUE,FALSE,three or more
9,"As you may know, some people have suggested that President (Barack) Obama was not born in the United States. Do you think Obama was not born in the US, Obama was born in the US, or it is not clear whether Obama was born in the US or not?",3,online,93,Obama Citizenship,Knowledge Networks,11/06-15/10,TRUE,,TRUE,TRUE,,0.55,0.3,0.15,Roper topline,,,100,TRUE,FALSE,three or more
